type,name,steam_appid,required_age,package_groups,platforms,categories,genres,release_date,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews,achievements,discount,price,developer,publisher
game,All That Remains: Part 1,1198490,0,"[{'name': 'default', 'title': 'Buy All That Remains: Part 1', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413222, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'All That Remains: Part 1 - 2,39€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 239}]}]",windows;mac,Single-player;Steam Cloud,Adventure,2021-04-16,1,0,4 user reviews,1,3,4,0,0,2.39,Glitch Games,Glitch Games
game,Paperball,1198510,0,"[{'name': 'default', 'title': 'Buy Paperball', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413229, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Paperball - 9,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}]}]",windows,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Remote Play on TV;Remote Play Together,Action;Indie,2020-03-27,2,8,Very Positive,130,4,134,37,0,9.99,Cliax Games,Cliax Games
game,Moderium,1198550,0,"[{'name': 'default', 'title': 'Buy Moderium', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413245, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Moderium - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]}]",windows,Single-player,Action;Casual;Indie;RPG,2020-01-07,1,0,1 user reviews,1,0,1,0,0,0.79,All Saints Gaming,All Saints Gaming
game,Pizza Time Explosion,1198600,0,"[{'name': 'default', 'title': 'Buy Pizza Time Explosion', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413271, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Pizza Time Explosion - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]}]",windows,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie,2019-12-17,18,7,Positive,17,1,18,32,0,4.99,Electric Prune Juice,Electric Prune Juice
game,Customer Cums First!,1198630,0,"[{'name': 'default', 'title': 'Buy Customer Cums First!', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413283, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Customer Cums First! - 9,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 999}]}]",windows;mac;linux,Single-player;Steam Achievements,Casual,2020-01-17,1,7,Positive,8,2,10,18,0,9.99,Miel,Cherry Kiss Games
game,Chained: A Victorian Nightmare,1198700,0,"[{'name': 'default', 'title': 'Buy Chained: A Victorian Nightmare', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413305, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Chained: A Victorian Nightmare - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]}]",windows,Single-player,Adventure;Casual;Indie,2019-12-19,1,6,Mostly Positive,12,4,16,0,0,3.99,MWM Interactive,MWM Interactive
game,Hentai Police,1198730,0,"[{'name': 'default', 'title': 'Buy Hentai Police', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413333, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Hentai Police - 0,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 79}]}]",windows;mac;linux,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;RPG;Simulation,2020-01-17,1,8,Very Positive,105,22,127,100,0,0.79,Podval Games;KremlinDev,GOSZAKAZ;Ukrainian Bears
game,Colony Siege,1198740,0,"[{'name': 'default', 'title': 'Buy Colony Siege', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413336, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Colony Siege - 12,49€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1249}]}]",windows,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards,Simulation;Strategy,2020-09-07,1,8,Very Positive,72,6,78,24,0,12.49,Finifugal Games,Finifugal Games
game,Wolf and Pigs,1198810,0,"[{'name': 'default', 'title': 'Buy Wolf and Pigs', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413364, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Wolf & Pig - 16,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1679}]}]",windows,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Casual;Indie;Strategy,2020-05-13,1,0,6 user reviews,5,1,6,33,0,16.79,Visual Light,Visual Light
game,Monster Girl Garden,1198820,0,"[{'name': 'default', 'title': 'Buy Monster Girl Garden', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 413367, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Monster Girl Garden - 8,19€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 819}]}]",windows,Single-player,Simulation,2020-01-17,1,5,Mixed,9,5,14,28,0,8.19,Noxious Games,Noxious Games;Shady Corner Games
