type,name,steam_appid,required_age,platforms,categories,genres,release_date,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews,achievements,discount,price,developer,publisher
game,All That Remains: Part 1,1198490,0,windows;mac,Single-player;Steam Cloud,Adventure,2021-04-16,1,0,4 user reviews,1,3,4,0,0,2.39,Glitch Games,Glitch Games
game,Paperball,1198510,0,windows,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards;Remote Play on TV;Remote Play Together,Action;Indie,2020-03-27,2,8,Very Positive,130,4,134,37,0,9.99,Cliax Games,Cliax Games
game,Moderium,1198550,0,windows,Single-player,Action;Casual;Indie;RPG,2020-01-07,1,0,1 user reviews,1,0,1,0,0,0.79,All Saints Gaming,All Saints Gaming
game,Pizza Time Explosion,1198600,0,windows,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie,2019-12-17,18,7,Positive,17,1,18,32,0,4.99,Electric Prune Juice,Electric Prune Juice
game,Customer Cums First!,1198630,0,windows;mac;linux,Single-player;Steam Achievements,Casual,2020-01-17,1,7,Positive,8,2,10,18,0,9.99,Miel,Cherry Kiss Games
game,Chained: A Victorian Nightmare,1198700,0,windows,Single-player,Adventure;Casual;Indie,2019-12-19,1,6,Mostly Positive,12,4,16,0,0,3.99,MWM Interactive,MWM Interactive
game,Hentai Police,1198730,0,windows;mac;linux,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;RPG;Simulation,2020-01-17,1,8,Very Positive,105,22,127,100,0,0.79,Podval Games;KremlinDev,GOSZAKAZ;Ukrainian Bears
game,Colony Siege,1198740,0,windows,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards,Simulation;Strategy,2020-09-07,1,8,Very Positive,72,6,78,24,0,12.49,Finifugal Games,Finifugal Games
game,Wolf and Pigs,1198810,0,windows,Single-player;Steam Achievements;Steam Cloud,Action;Adventure;Casual;Indie;Strategy,2020-05-13,1,0,6 user reviews,5,1,6,33,0,16.79,Visual Light,Visual Light
game,Monster Girl Garden,1198820,0,windows,Single-player,Simulation,2020-01-17,1,5,Mixed,9,5,14,28,0,8.19,Noxious Games,Noxious Games;Shady Corner Games
game,Dogworld,1198210,0,windows,Single-player;Full controller support,Action;Adventure;Indie,2021-03-18,1,8,Very Positive,55,1,56,0,0,12.49,Lateralis,Lateralis
game,Slave Girl Reno,1198220,0,windows,Single-player,RPG,2019-12-12,3,0,3 user reviews,1,2,3,0,0,3.99,Aphrodite,H-GAME
game,Danger City,1198240,0,windows,Single-player,Action;Adventure;Early Access,2019-12-20,1,0,4 user reviews,2,2,4,0,0,9.99,Hash Technology;哈视奇科技,Hash Technology
game,The Button Witch,1198270,0,windows,Single-player,Adventure;Indie,2020-12-27,7,0,7 user reviews,7,0,7,0,0,12.49,DDreams Games,DDreams Games
game,Space Block Buster,1198290,0,windows,Single-player;Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;Steam Achievements,Action;Casual;Sports;Early Access,2019-12-20,14,7,Positive,14,0,14,28,0,8.19,Reality MagiQ,Reality MagiQ
game,Mr.King Luo!Don't be kidding,1198310,0,windows,Single-player;Steam Achievements;Full controller support;Steam Cloud,Indie,2020-02-10,1,0,1 user reviews,1,0,1,37,0,3.29,艾斯貝洛;koloro,Gamera Game;艾斯貝洛
game,Summoner VR,1198340,0,windows,Single-player,Adventure;Casual;RPG,2019-12-23,1,0,1 user reviews,1,0,1,0,0,4.99,Broadway Entertainment Group Interactive,waycoder
game,COWBOY YAKUZA,1198380,0,windows,Single-player;Full controller support,Action;Casual;Early Access,2020-02-17,3,0,3 user reviews,2,1,3,0,0,8.19,Active Gaming Media Inc.,"Active Gaming Media Inc.;Maple Whispering Co.,Ltd."
game,Kawaii Girl,1198390,0,windows,Single-player;Steam Achievements,Adventure;Casual;Indie,2020-04-25,6,0,6 user reviews,4,2,6,79,0,0.79,MoeGame,HyperStar Group
game,Rhythm Fighter,1198400,0,windows;mac,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie,2020-05-27,1,7,Positive,14,0,14,71,0,12.49,echo games,Coconut Island Games
game,The Burning Descent,1198440,0,windows,Single-player;Multi-player;PvP;Online PvP,Action;Indie,2020-04-30,2,0,2 user reviews,2,0,2,0,0,24.99,RyseUp Studios,Mumocap
game,The Secret Order 8: Return to the Buried Kingdom,1198450,0,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,2020-01-30,20,7,Positive,25,5,30,32,0,14.99,Sunward Games,Artifex Mundi
game,"Shoot, push, portals",1197990,0,windows,Single-player;Steam Achievements,Casual;Indie,2019-12-09,1,7,Positive,11,1,12,100,0,0.79,CrewLab,CrewLab
game,Braverz,1198020,0,windows,Multi-player;Co-op;Online Co-op,Action;Adventure;Casual;Indie;RPG;Strategy;Early Access,2020-01-14,1,0,1 user reviews,0,1,1,0,0,9.0,Evil Noob Studios,Evil Noob Studios
game,Wide Ocean Big Jacket,1198040,0,windows;mac,Single-player;Full controller support,Casual;Indie,2020-02-04,6,8,Very Positive,133,4,137,0,0,6.59,Turnfollow,Tender Claws
game,War Remains: Dan Carlin Presents an Immersive Memory,1198050,0,windows,Single-player,Casual,2020-05-21,1,6,Mostly Positive,55,17,72,0,0,3.99,Flight School Studio,MWM Interactive
game,Christmas Stories: Enchanted Express Collector's Edition,1198060,0,windows,Single-player,Adventure;Casual,2019-12-06,6,0,6 user reviews,4,2,6,0,0,8.19,Elephant Games,Big Fish Games
game,The Christmas Spirit: Grimm Tales Collector's Edition,1198070,0,windows,Single-player,Adventure;Casual,2019-12-13,8,0,8 user reviews,8,0,8,0,0,8.19,Domini Games,Big Fish Games
game,Westminster Darkly,1198080,0,windows,Single-player;Partial Controller Support,Indie;RPG;Strategy,2020-08-01,2,0,2 user reviews,1,1,2,0,0,3.29,Studio Incorrect,Studio Incorrect
game,The Legend of Heroes: Trails of Cold Steel IV,1198090,0,windows,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,2021-04-09,4,8,Very Positive,625,38,663,53,0,59.99,Nihon Falcom;Engine Software BV;PH3 GmbH,"NIS America, Inc."
game,Fantasy Realm TD,1198110,0,windows,Single-player,Indie;Strategy,2019-12-11,3,0,3 user reviews,2,1,3,0,0,8.19,Gyro-Games Inc.,Gyro-Games Inc.
game,Familia,1197520,0,windows;mac,Single-player;Steam Achievements;Full controller support;Stats,Adventure;Casual;Indie;RPG,2019-12-01,13,7,Positive,13,0,13,26,0,3.99,Joseph Abraham,Maui Game Studio
game,Planet Modular TD,1197530,0,windows,Single-player;Steam Achievements,Indie;Strategy,2019-12-12,5,0,5 user reviews,4,1,5,28,0,8.19,Gyro-Games Inc.,Gyro-Games Inc.
game,Ouction,1197550,0,windows,Single-player,Simulation,2020-01-22,1,4,Mostly Negative,4,13,17,0,0,6.59,Hurricane Dot Com,H-GAME
game,Until We Die,1197570,0,windows,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Simulation;Strategy,2021-06-03,10,6,Mostly Positive,400,121,521,28,0,13.99,Pixeye Games,Pixeye Games
